MenuItemID,RestaurantID,Name,Description,Price
124,31,Coconut Curry Bowl,"A warm and comforting bowl filled with fragrant coconut curry, vegetables, and",34.36
125,33,Savory Shrimp,Juicy shrimp seasoned with savory spices and grilled to perfection.,7.99
126,6,Quinoa Fiesta Bowl,Nutritious quinoa dish featuring a medley of vibrant vegetables and flavorful,43.17
127,19,Coconut Curry Quinoa,Quinoa cooked in a flavorful coconut curry sauce.,47.47
128,4,Pesto Quinoa Bowl,Healthy and flavorful quinoa bowl topped with fresh pesto sauce.,5.01
129,29,Coconut Curry Shrimp,Juicy shrimp simmered in a flavorful coconut curry sauce.,44.56
130,11,Berry Bliss Parfait,"Berry Bliss Parfait: Layers of fresh berries, creamy yogurt, and crunchy",26.12
131,33,Truffle Mac n',Creamy macaroni and cheese infused with luxurious truffle flavor.,11.7
132,49,Sushi Taco Twist,"A fusion dish featuring sushi ingredients like fish and rice, wrapped in a taco",23.35
133,4,Spicy Maple Glazed,Sweet and spicy treat featuring a maple glaze with a kick.,23.24
134,19,Teriyaki Tof,Grilled tofu marinated in a savory-sweet teriyaki sauce with,31.04
135,16,Spicy Teriyaki,Grilled chicken marinated in a spicy teriyaki sauce.,44.93
136,5,Spicy Sriracha,Spicy Sriracha dish featuring bold flavors and a fiery kick.,46.07
137,31,Coconut Curry Bowls,"Coconut Curry Bowls featuring a flavorful blend of coconut milk, curry spices",31.39
138,3,Spicy Shrimp T,Delicious spicy shrimp cooked with a special blend of seasonings.,25.69
139,12,Coconut Curry Ramen,Coconut Curry Ramen featuring rich coconut broth infused with curry flavors and topped,35.93
140,23,Mango Tango Tof,A tangy and savory tofu dish with a zesty mango sauce.,23.13
141,10,Buffalo Blue Cheese T,"Crispy buffalo chicken wings tossed in tangy buffalo sauce, served with",24.0
142,38,Crispy Tof,Crispy tofu dish with a golden outer layer and a flavorful seasoning.,38.85
143,20,Spicy Mango Salmon,Grilled salmon topped with a zesty spicy mango glaze.,13.56
144,15,Coconut Curry Shrimp,Delicious shrimp cooked in a flavorful coconut curry sauce.,20.29
145,2,Spicy Mango Tango Sh,Shrimp dish featuring a spicy mango tango sauce for a tantalizing flavor,26.16
146,50,Avocado BLT Wrap,"A flavorful wrap filled with avocado, crispy bacon, lettuce, and tomato.",10.82
147,25,Spicy Ramen Bowl,"Spicy Ramen Bowl featuring a flavorful broth, chewy noodles, and",32.11
148,9,Spicy Mango Shrimp,Shrimp cooked in a spicy mango sauce.,10.72
149,11,Coconut Curry Bowl,Coconut Curry Bowl featuring fragrant coconut curry sauce with a blend of vegetables,47.13
150,19,Avocado Pesto Pasta,Delicious pasta dish featuring avocado pesto sauce.,35.63
151,2,Spicy Honey Srir,Succulent chicken wings coated in a spicy honey Sriracha sauce.,8.37
152,32,Spicy Mango Chicken T,"Savor the flavor with our Spicy Mango Chicken T, featuring juicy chicken",43.36
153,48,Savory Pesto,Pasta with savory pesto sauce and a sprinkle of Parmesan cheese.,9.78
154,28,Mango Pepperoni Pizza,Tangy mango slices paired with savory pepperoni on a delicious pizza crust,7.69
155,23,Black Truffle Risotto,Creamy risotto infused with decadent black truffle.,43.38
156,27,Coconut Curry Ramen,Ramen noodles in a fragrant coconut curry broth topped with vegetables and protein,45.05
157,44,Spicy Shrimp Lingu,Shrimp Linguine with a spicy kick.,42.73
158,47,Spicy Sriracha,Spicy Sriracha dish featuring juicy shrimp and a fiery chili garlic sauce,32.31
159,25,Spicy Mango Shrimp,Shrimp cooked in a spicy mango sauce.,41.6
160,2,Crispy Bals,Crispy Bals: Golden fried bites of tender chicken coated in a,46.53
161,19,Spicy Mango Tof,Vegan dish featuring spicy tofu with a zesty mango glaze.,8.14
162,18,Sriracha Pineapple,Tangy sriracha-infused stir-fried pineapple dish with a,43.84
163,34,Spicy Mango Salmon,Succulent salmon fillet coated in a spicy mango glaze.,47.62
164,5,Savory Brussels Spr,"Savory Brussels sprouts roasted with garlic, balsamic glaze",43.95
165,39,Spicy Basil Pesto,A flavorful pasta dish with zesty basil pesto sauce and a hint of,40.95
166,30,Sizzling Tofu,Sizzling Tofu stir-fried with vibrant vegetables and savory spices.,7.35
167,11,Spicy Thai Noodle,Spicy Thai Noodles with a flavorful blend of traditional Thai spices and succ,6.04
168,28,Pesto Portobello,Portobello mushrooms topped with flavorful pesto sauce.,18.6
169,20,Shrimp Tempura T,Crispy shrimp tempura served with a tangy dipping sauce.,43.18
170,30,Sizzling Coconut Shrimp,"Delicious shrimp coated in crispy coconut flakes, served sizzling hot.",49.23
171,18,Spicy Teriyaki,Grilled teriyaki dish with a spicy kick and savory sauce.,26.35
172,26,Tofu Taco Bowl,"Vegan taco bowl featuring flavorful tofu, mixed with a variety of toppings and",15.45
173,33,Spicy Shrimp T,Succulent shrimp cooked in a spicy sauce.,46.43
174,28,Smoked Salmon Wrap,"A delicious wrap filled with smoked salmon, cream cheese, and crisp vegetables.",19.49
175,19,Spicy Mango Chicken Wr,Savory chicken wrapped in a spicy mango-infused sauce.,14.18
176,46,Spicy Mango Shrimp,Shrimp marinated in a spicy mango sauce.,39.26
177,40,Cheesy Jalapeno,Spicy jalapenos stuffed with melted cheese.,13.81
178,47,Spicy Mango Chicken Wrap,Tender chicken marinated in spicy mango sauce wrapped in a tortilla.,23.61
179,11,Coconut Curry Shrimp,Juicy shrimp cooked in a flavorful coconut curry sauce.,21.6
180,44,Spicy Mango Shrimp,Tangy shrimp cooked with spicy mango sauce.,36.65
181,12,Maple Glazed Salmon,Salmon glazed in a sweet maple sauce.,48.0
182,50,Pesto Chicken Skew,Grilled chicken skewers marinated in savory pesto sauce.,30.45
183,23,Beefy Mac &,Hearty macaroni and cheese topped with tender beef chunks.,26.85
184,21,Spicy Taco Fusion,Spicy Taco Fusion: A delightful combination of Mexican and international flavors with a,40.78
185,14,Spicy Mango Tof,A flavorful dish featuring spicy mango sauce over crispy tofu.,41.59
186,5,Spicy Mango Shrimp,Shrimp cooked in a spicy mango sauce.,32.23
187,34,Berry Bliss Bowl,A refreshing bowl combining various berries with granola and yogurt for a perfect balance,39.01
188,14,Lemon Sage Salmon,Grilled salmon marinated in zesty lemon and aromatic sage.,11.16
189,28,Spicy Mango Shrimp,Delicious shrimp cooked in a spicy mango sauce.,31.84
190,40,Citrus Zoodle Bowl,"Refreshing citrus zoodle bowl with zucchini noodles, vibrant veggies, and a",34.19
191,6,Coconut Curry Ramen,Ramen noodles in a coconut curry broth with flavorful spices and succulent toppings,16.22
192,16,Smoky Chipotle Ch,Grilled chicken marinated in smoky chipotle peppers for a spicy and,24.73
193,35,Spicy Mango Chicken Wrap,Tender chicken coated in spicy mango sauce wrapped in a soft tortilla.,48.56
194,32,Crispy Avocado,Crispy Avocado: Avocado slices coated in a crispy batter and,16.47
195,45,Smoked Gouda,"Savory grilled cheese sandwich with smoky Gouda cheese, on",22.2
196,49,Spicy Jalapeño,Grilled burger topped with spicy jalapeños for an extra kick.,44.38
197,36,Spicy Tofu,Spicy tofu stir-fry with vegetables and a zesty sauce.,6.99
198,27,Basil Pesto Pasta,Classic Italian pasta dish featuring al dente noodles tossed in fragrant basil pest,18.17
199,22,Spicy Sriracha,Chicken wings coated in a fiery Sriracha sauce with a zesty kick,13.27
200,49,Spicy Maple Glazed,Grilled chicken wings coated in a sweet and spicy maple glaze.,36.01
201,2,Coconut Curry Quinoa,Quinoa cooked in a flavorful coconut curry sauce.,37.22
202,43,Spicy Mango Shrimp,Succulent shrimp cooked in a spicy mango sauce.,43.46
203,36,Smoky Maple Bacon Panc,Fluffy pancakes infused with smoky maple flavor and crispy bacon pieces.,16.3
204,14,Citrus Glazed Salmon,"Salmon fillet coated in a tangy citrus glaze, served with",9.62
205,37,Spicy Mango Chicken Wrap,"Spicy Mango Chicken Wrap featuring tender chicken, spicy mango sauce, and fresh",12.94
206,37,Spicy Tofu,Spicy tofu dish with a flavorful sauce and assorted vegetables.,23.0
207,7,Spicy Mango Chicken T,Grilled chicken marinated in a spicy mango sauce.,16.76
208,9,Spicy Mango Shrimp,Shrimp cooked in a spicy mango sauce for a flavorful twist on seafood.,12.39
209,15,Spicy Jackfruit T,Spicy shredded jackfruit served with a kick in every bite.,43.93
210,17,Spicy Sriracha,Spicy Sriracha dish featuring grilled shrimp and vegetables tossed in a fiery,33.32
211,25,Spicy Tofu,Spicy tofu dish featuring crispy tofu cubes tossed in a zesty sauce with,19.04
212,43,Crispy Avocado,Crispy Avocado: Delightful slices of avocado fried to perfection,37.4
213,25,Spicy Mango Shrimp,Juicy shrimp sautéed with spicy mango sauce.,13.2
214,25,Spicy Mango Shrimp,Grilled shrimp tossed in a spicy mango sauce for a tropical kick.,24.14
215,14,Mango Tango Shrimp,Juicy shrimp marinated in a zesty mango tango sauce.,21.09
216,38,Sizzling Seaweed,Crispy seaweed seasoned and served sizzling hot.,17.2
217,19,Raspberry Glazed Salmon,Salmon fillet coated in a sweet and tangy raspberry glaze.,26.7
218,48,Spicy Mango Shrimp,Succulent shrimp cooked in a spicy mango sauce.,33.64
219,31,Spicy Sriracha,Spicy Sriracha dish featuring grilled shrimp coated in a fiery Srir,43.64
220,26,Savory Mushroom P,"Delectable pasta dish with savory mushrooms and a rich, flavorful sauce.",23.71
221,18,Basil Pesto Pasta,Pasta dish featuring basil pesto sauce tossed with al dente noodles.,24.89
222,5,Beefy Pesto,Juicy beef topped with flavorful pesto sauce.,41.09
223,11,Spicy Maple Glazed,Savory dish featuring a spicy maple glaze over your choice of protein,48.51
224,20,Strawberry Bals,Savory salad featuring ripe strawberries and tangy balsamic dressing.,45.57
225,28,Mango Tango Tacos,"Delicious tacos filled with juicy mango salsa and seasoned meat, creating a sweet",35.73
226,49,Pesto Salmon Bowl,"Grilled salmon served over a bed of fluffy rice and fresh vegetables, topped",39.5
227,49,Spicy Mango Shrimp,Succulent shrimp cooked in a spicy mango sauce.,43.05
228,18,Smoky BBQ Pulled,"Slow-cooked pulled pork mixed with smoky BBQ sauce, perfect for sandwiches",27.39
229,16,Spicy Teriyaki,Grilled teriyaki chicken with a spicy kick.,7.31
230,11,Spicy Honey Glazed,Tender chicken wings coated in a spicy honey glaze.,16.33
231,15,Spicy Sriracha,Savory grilled chicken topped with a fiery Sriracha sauce on a,22.85
232,30,Black Truffle Risotto,Creamy risotto infused with the rich earthy flavor of black truffles,12.25
233,28,Pesto Portobello,Grilled portobello mushroom topped with flavorful pesto sauce.,18.66
234,28,Spicy Tofu,A flavorful dish featuring spicy tofu cooked with a blend of zesty seasonings,48.6
235,39,Spicy Maple Glazed,Succulent chicken wings coated in a spicy maple glaze.,29.66
236,44,Sesame Teriy,Sesame Teriyaki: A savory stir-fry dish packed with,46.07
237,3,Spicy Avocado Wrap,Spicy Avocado Wrap featuring ripe avocado slices with a zesty kick.,32.06
238,15,Beefy Nacho,"Hearty nachos loaded with seasoned beef and gooey cheese, topped with",22.04
239,29,Maple Glazed Rib,Tender ribs coated in a sweet and sticky maple glaze.,17.91
240,39,Spicy Pineapple Chicken,Tender chicken cooked with spicy seasoning and sweet pineapple chunks.,21.94
241,50,Turmeric Glazed Salmon,Salmon fillet glazed with turmeric for a flavorful and vibrant twist.,36.64
242,1,Sizzling Jalapeno,Spicy dish featuring jalapenos that are sautéed and served,42.84
243,46,Pesto Portobello,Grilled portobello mushrooms topped with savory pesto sauce.,34.97
244,20,Spicy Sriracha,Spicy Sriracha burger topped with melted cheese and crispy bacon.,43.69
245,11,Spicy Mango Glazed,Tender chicken wings coated in a spicy mango glaze.,23.5
246,8,Beetroot Quinoa,Nutritious beetroot quinoa salad with a zesty vinaig,6.72
247,26,Shrimp Pesto Pasta,Pasta dish featuring succulent shrimp tossed in flavorful pesto sauce.,36.59
248,26,Szechuan Beef Stir,Spicy Szechuan beef stir-fry tossed with vibrant veggies and a,49.3
249,39,Coconut Curry Bowl,Coconut Curry Bowl featuring a fragrant coconut milk curry sauce with vegetables and,31.26
250,13,Dragonfire Tacos,"Spicy tacos filled with tender grilled meats, fiery salsa, and zesty",34.52
251,44,Savory Truffle,Delectable truffle-infused dish featuring savory ingredients and a rich flavor,37.42
252,20,Maple Glazed Salmon,Salmon fillet coated in a delicious maple glaze.,43.96
253,46,Spicy Mango Shrimp,Shrimp made with spicy mango sauce for sweetness with a kick.,47.85
254,38,Crispy Truffle,Crispy Truffle: Decadent truffle-infused dish with,31.42
255,40,Savory Maple Gl,A succulent grilled chicken breast drizzled with rich and sweet maple gl,10.05
256,21,Shrimp Taco Bowl,"Shrimp Taco Bowl featuring succulent shrimp, seasoned rice, and vibrant toppings",5.47
257,8,Crunchy Honey Garlic,Crispy chicken coated in a sweet and tangy honey garlic glaze,48.56
258,3,Spicy Shrimp T,Tantalizing spicy shrimp dish cooked with a fiery kick and served with sav,24.45
259,47,Smoky Maple Glazed,Grilled meat or vegetables coated in a sweet and smoky maple glaze,28.63
260,39,Seafood Extravagan,"Seafood Extravagan: A delightful combination of fresh seafood, rich flavors",41.99
261,11,Spicy Maple Glazed,Tender chicken wings coated in a spicy maple glaze.,16.0
262,25,Coconut Curry Shrimp,Delicious shrimp cooked in a rich and fragrant coconut curry sauce.,31.16
263,2,Spicy Mango BBQ T,Tender BBQ pork ribs glazed with a spicy mango sauce.,42.1
264,14,Tofu Teriy,A vegetarian dish featuring tofu cooked in a savory teriyaki sauce.,40.62
265,43,Spicy Mango Shrimp,Tender shrimp cooked with spicy mango sauce.,41.29
266,31,Seafood Ramen Fusion,Savory seafood ramen with a flavorful fusion twist.,47.36
267,31,Spicy Sriracha,Spicy Sriracha dish featuring grilled shrimp and a fiery sauce.,43.04
268,14,Roasted Garlic Quinoa,"Quinoa flavored with roasted garlic, creating a savory and aromatic side dish.",28.12
269,14,Spicy Mango Pulled,"Sweet and tangy mango mixed with spicy seasonings, paired with tender pulled",41.05
270,47,Mango Tango Chicken Salad,Refreshing chicken salad loaded with juicy mango chunks and a tangy tango dressing,8.13
271,24,Sizzling Teriyaki,Sizzling Teriyaki dish featuring tender pieces of meat or tofu coated in,9.63
272,35,Spicy Shrimp T,"Spicy Shrimp T: Succulent shrimp with a kick of heat,",22.38
273,25,Tofu Pad Thai,"Tofu Pad Thai featuring stir-fried rice noodles with tofu, vegetables",32.16
274,38,Spicy Mango Shrimp,Succulent shrimp cooked in a spicy mango sauce.,42.16
275,5,Gourmet Truffle Mac,Truffle Mac: Classic macaroni and cheese infused with gourmet truffle,10.2
276,16,Dragon Fire Shrimp,Spicy shrimp sautéed with fiery dragon sauce.,36.14
277,19,Spicy Szechuan,Spicy Szechuan dish featuring bold flavors with a kick of heat and,47.58
278,41,Coconut Curry Bowl,"Vegetarian bowl with aromatic coconut curry sauce, mixed vegetables, and frag",23.98
279,36,Mango Glazed Salmon,Grilled salmon coated in a sweet and tangy mango glaze.,14.79
280,45,Coconut Curry Tof,"Creamy coconut curry with tofu, vegetables, and aromatic spices.",36.37
281,45,Savory Truffle,Decadent truffle infused dish with rich and savory flavors.,15.66
282,17,Spicy Avocado S,"Avocado slices lightly dusted with spicy seasoning, perfect for those craving a",41.3
283,8,Spicy Maple Glazed,Sweet and spicy maple glazed dish with a flavorful kick.,18.43
284,42,Spicy Maple Glazed,Grilled protein marinated in a spicy maple glaze with a hint of,49.55
285,7,Crispy Spicy,Crispy Spicy menu item featuring fried chicken coated in a zesty,8.75
286,17,Oriental Quinoa,Quinoa salad with a fusion of Asian flavors and Oriental spices.,11.83
287,41,Mango Chili Lime T,Refreshing Mango Chili Lime Tea with a zesty kick of lime and a hint,18.26
288,40,Spicy Shrimp T,"""Tangy spiced shrimp served with savory seasonings and a zesty",14.41
289,13,Crispy Avocado,Avocado slices coated in crunchy breadcrumbs and fried to perfection.,18.21
290,14,Shrimp and Avocado,"A delightful combination of succulent shrimp and ripe avocado, served with a tang",29.21
291,19,Crispy Bourbon Gl,Crispy Bourbon Gl is a flavorful dish with crispy coating fried to perfection,11.67
